Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-09-25 09:00:00+08:00,1320.0,1330.0,1320.0,1325.0,751000,0.0,0.0
2025-09-25 09:05:00+08:00,1320.0,1325.0,1320.0,1325.0,703000,0.0,0.0
2025-09-25 09:10:00+08:00,1325.0,1325.0,1320.0,1325.0,662908,0.0,0.0
2025-09-25 09:15:00+08:00,1325.0,1325.0,1320.0,1320.0,557751,0.0,0.0
2025-09-25 09:20:00+08:00,1325.0,1325.0,1320.0,1320.0,470295,0.0,0.0
2025-09-25 09:25:00+08:00,1320.0,1330.0,1320.0,1325.0,1197557,0.0,0.0
2025-09-25 09:30:00+08:00,1330.0,1330.0,1325.0,1325.0,153740,0.0,0.0
2025-09-25 09:35:00+08:00,1330.0,1330.0,1325.0,1325.0,162423,0.0,0.0
2025-09-25 09:40:00+08:00,1325.0,1330.0,1325.0,1325.0,194257,0.0,0.0
2025-09-25 09:45:00+08:00,1330.0,1330.0,1325.0,1325.0,424930,0.0,0.0
2025-09-25 09:50:00+08:00,1330.0,1330.0,1325.0,1325.0,245459,0.0,0.0
2025-09-25 09:55:00+08:00,1330.0,1330.0,1325.0,1330.0,130842,0.0,0.0
2025-09-25 10:00:00+08:00,1330.0,1330.0,1325.0,1330.0,474836,0.0,0.0
2025-09-25 10:05:00+08:00,1330.0,1330.0,1325.0,1330.0,547968,0.0,0.0
2025-09-25 10:10:00+08:00,1325.0,1330.0,1325.0,1330.0,197066,0.0,0.0
2025-09-25 10:15:00+08:00,1330.0,1330.0,1325.0,1325.0,448545,0.0,0.0
2025-09-25 10:20:00+08:00,1330.0,1330.0,1325.0,1330.0,126461,0.0,0.0
2025-09-25 10:25:00+08:00,1325.0,1330.0,1325.0,1330.0,132023,0.0,0.0
2025-09-25 10:30:00+08:00,1325.0,1330.0,1325.0,1325.0,88109,0.0,0.0
2025-09-25 10:35:00+08:00,1330.0,1330.0,1325.0,1325.0,130335,0.0,0.0
2025-09-25 10:40:00+08:00,1330.0,1330.0,1325.0,1330.0,136865,0.0,0.0
2025-09-25 10:45:00+08:00,1330.0,1330.0,1325.0,1330.0,253865,0.0,0.0
2025-09-25 10:50:00+08:00,1330.0,1330.0,1325.0,1330.0,290063,0.0,0.0
2025-09-25 10:55:00+08:00,1330.0,1330.0,1325.0,1330.0,162048,0.0,0.0
2025-09-25 11:00:00+08:00,1330.0,1330.0,1325.0,1325.0,125692,0.0,0.0
2025-09-25 11:05:00+08:00,1330.0,1330.0,1325.0,1330.0,148222,0.0,0.0
2025-09-25 11:10:00+08:00,1330.0,1330.0,1325.0,1325.0,370431,0.0,0.0
2025-09-25 11:15:00+08:00,1325.0,1330.0,1325.0,1325.0,107550,0.0,0.0
2025-09-25 11:20:00+08:00,1330.0,1330.0,1325.0,1330.0,165797,0.0,0.0
2025-09-25 11:25:00+08:00,1325.0,1330.0,1325.0,1325.0,105760,0.0,0.0
2025-09-25 11:30:00+08:00,1330.0,1330.0,1325.0,1325.0,194676,0.0,0.0
2025-09-25 11:35:00+08:00,1330.0,1330.0,1325.0,1330.0,153597,0.0,0.0
2025-09-25 11:40:00+08:00,1325.0,1330.0,1325.0,1330.0,198520,0.0,0.0
2025-09-25 11:45:00+08:00,1325.0,1330.0,1325.0,1325.0,202336,0.0,0.0
2025-09-25 11:50:00+08:00,1330.0,1330.0,1325.0,1330.0,178767,0.0,0.0
2025-09-25 11:55:00+08:00,1325.0,1330.0,1325.0,1325.0,136269,0.0,0.0
2025-09-25 12:00:00+08:00,1325.0,1330.0,1325.0,1325.0,199780,0.0,0.0
2025-09-25 12:05:00+08:00,1325.0,1330.0,1325.0,1330.0,120566,0.0,0.0
2025-09-25 12:10:00+08:00,1330.0,1330.0,1325.0,1325.0,147279,0.0,0.0
2025-09-25 12:15:00+08:00,1325.0,1330.0,1325.0,1325.0,273032,0.0,0.0
2025-09-25 12:20:00+08:00,1330.0,1330.0,1325.0,1330.0,161892,0.0,0.0
2025-09-25 12:25:00+08:00,1330.0,1330.0,1325.0,1325.0,163688,0.0,0.0
2025-09-25 12:30:00+08:00,1330.0,1330.0,1325.0,1330.0,221785,0.0,0.0
2025-09-25 12:35:00+08:00,1330.0,1330.0,1325.0,1330.0,187056,0.0,0.0
2025-09-25 12:40:00+08:00,1330.0,1330.0,1325.0,1330.0,192965,0.0,0.0
2025-09-25 12:45:00+08:00,1325.0,1330.0,1325.0,1330.0,378627,0.0,0.0
2025-09-25 12:50:00+08:00,1330.0,1330.0,1325.0,1330.0,433249,0.0,0.0
2025-09-25 12:55:00+08:00,1330.0,1330.0,1325.0,1330.0,1499886,0.0,0.0
2025-09-25 13:00:00+08:00,1325.0,1330.0,1325.0,1325.0,166900,0.0,0.0
2025-09-25 13:05:00+08:00,1325.0,1330.0,1325.0,1330.0,174828,0.0,0.0
